trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1725508800_7..S,024000_7..S,7,1,1725508800,07 0400 MST/34H,1725525263,1725525278,774,0,0
1725508800_GS.N01R,024000_GS.N01R,GS,0,1725508800,0S 0400  GCS/TSS,1725523268,1725523280,400,0,0
1725508920_5..S32R,024200_5..S32R,5,1,1725508920,05 0402  DYR/180,1725524003,1725524015,547,0,0
1725508980_2..N33X001,024300_2..N33X001,2,0,1725508980,02 0403  3RD/241,1725525398,1725525413,756,0,0
1725508980_5..N32R,024300_5..N32R,5,0,1725508980,05 0403  180/DYR,1725524063,1725524078,559,0,0
1725509010_GS.S01R,024350_GS.S01R,GS,1,1725509010,0S 0403+ TSS/GCS,1725523460,1725523463,437,0,0
1725509100_7..N,024500_7..N,7,0,1725509100,07 0405 34H/MST,1725524078,1725524093,531,0,0
1725509130_1..S03R,024550_1..S03R,1,1,1725509130,01 0405+ 242/SFT,1725526928,1725526943,908,0,0
1725509220_4..N13R,024700_4..N13R,4,0,1725509220,04 0407  NLT/WDL,1725529286,1725529298,1320,0,0
1725509370_4..S13R,024950_4..S13R,4,1,1725509370,04 0409+ WDL/NLT,1725529331,1725529343,1219,0,0
1725509400_GS.N01R,025000_GS.N01R,GS,0,1725509400,0S 0410  GCS/TSS,1725523868,1725523880,391,0,0
1725509430_2..S08X165,025050_2..S08X165,2,1,1725509430,02 0410+ 148/FLA,1725528368,1725528383,1060,0,0
1725509550_6..N01R,025250_6..N01R,6,0,1725509550,06 0412+ BBR/PEL,1725528278,1725528293,1047,0,0
1725509610_2..N08R,025350_2..N08R,2,0,1725509610,02 0413+ FLA/241,1725530696,1725530708,1400,0,0
1725509610_GS.S01R,025350_GS.S01R,GS,1,1725509610,0S 0413+ TSS/GCS,1725524048,1725524063,428,0,0
1725509670_1..N03R,025450_1..N03R,1,0,1725509670,01 0414+ SFT/242,1725527648,1725527663,897,0,0
1725509700_6..S01R,025500_6..S01R,6,1,1725509700,06 0415  PEL/BBR,1725527693,1725527708,903,0,0
1725509865_7..N,025775_7..N,7,0,1725509865,E7 0417+ CHS/MST,1725525923,1725525938,235,0,0
1725509940_2..S33X001,025900_2..S33X001,2,1,1725509940,02 0419  241/3RD,1725526463,1725526478,659,0,0
1725510000_7..S,026000_7..S,7,1,1725510000,07 0420 MST/34H,1725526508,1725526523,705,0,0
1725510000_GS.N01R,026000_GS.N01R,GS,0,1725510000,0S 0420  GCS/TSS,1725524483,1725524498,369,0,0
1725510090_4..S13R,026150_4..S13R,4,1,1725510090,04 0421+ WDL/NLT,1725529556,1725529568,1128,0,0
1725510120_5..S32R,026200_5..S32R,5,1,1725510120,05 0422  DYR/180,1725525143,1725525158,471,0,0
1725510180_2..N33X001,026300_2..N33X001,2,0,1725510180,02 0423  3RD/241,1725526478,1725526493,661,0,0
1725510180_5..N32R,026300_5..N32R,5,0,1725510180,05 0423  180/DYR,1725525278,1725525293,491,0,0
1725510210_GS.S01R,026350_GS.S01R,GS,1,1725510210,0S 0423+ TSS/GCS,1725524648,1725524663,393,0,0
1725510300_7..N,026500_7..N,7,0,1725510300,07 0425 34H/G-C,1725524978,1725524990,428,0,0
1725510330_1..S03R,026550_1..S03R,1,1,1725510330,01 0425+ 242/SFT,1725528323,1725528338,873,0,0
1725510330_2..S08X165,026550_2..S08X165,2,1,1725510330,02 0425+ 148/FLA,1725528866,1725528878,976,0,0
1725510420_4..N13R,026700_4..N13R,4,0,1725510420,04 0427  NLT/WDL,1725530363,1725530366,1215,0,0
1725510600_6..S01R,027000_6..S01R,6,1,1725510600,06 0430  PEL/BBR,1725528428,1725528443,830,0,0
1725510600_GS.N01R,027000_GS.N01R,GS,0,1725510600,0S 0430  GCS/TSS,1725525083,1725525098,344,0,0
1725510630_7..N,027050_7..N,7,0,1725510630,=7 0430+ G-C/MST,1725526823,1725526838,279,0,0
1725510750_6..N01R,027250_6..N01R,6,0,1725510750,06 0432+ BBR/PEL,1725529031,1725529043,940,0,0
1725510810_2..N08R,027350_2..N08R,2,0,1725510810,02 0433+ FLA/241,1725531611,1725531623,1283,0,0
1725510810_GS.S01R,027350_GS.S01R,GS,1,1725510810,0S 0433+ TSS/GCS,1725525263,1725525278,370,0,0
1725510870_1..N03R,027450_1..N03R,1,0,1725510870,01 0434+ SFT/242,1725528518,1725528533,784,0,0
1725510990_7..S,027650_7..S,7,1,1725510990,07 0436+ MST/34H,1725528158,1725528173,707,0,0
1725511110_4..S01R,027850_4..S01R,4,1,1725511110,04 0438+ WDL/NLT,1725530153,1725530156,1028,0,0
1725511140_2..S01R,027900_2..S01R,2,1,1725511140,02 0439  241/FLA,1725531296,1725531308,1121,0,0
1725511200_GS.N01R,028000_GS.N01R,GS,0,1725511200,0S 0440  GCS/TSS,1725525698,1725525713,309,0,0
1725511230_2..S08X165,028050_2..S08X165,2,1,1725511230,02 0440+ 148/FLA,1725529961,1725529973,943,0,0
1725511320_5..S32R,028200_5..S32R,5,1,1725511320,05 0442  DYR/180,1725526718,1725526733,456,0,0
1725511320_6..S01R,028200_6..S01R,6,1,1725511320,06 0442  PEL/BBR,1725529028,1725529031,819,0,0
1725511350_1..S03R,028250_1..S03R,1,1,1725511350,01 0442+ 242/SFT,1725529091,1725529103,828,0,0
1725511380_2..N33X001,028300_2..N33X001,2,0,1725511380,02 0443  3RD/241,1725527753,1725527768,613,0,0
1725511380_5..N32R,028300_5..N32R,5,0,1725511380,05 0443  180/DYR,1725526553,1725526568,433,0,0
1725511410_GS.S01R,028350_GS.S01R,GS,1,1725511410,0S 0443+ TSS/GCS,1725525848,1725525863,330,0,0
1725511500_7..N,028500_7..N,7,0,1725511500,07 0445 34H/G-C,1725526193,1725526208,348,0,0
1725511590_4..N13R,028650_4..N13R,4,0,1725511590,04 0446+ NLT/WDL,1725531326,1725531338,1096,0,0
1725511590_7..S,028650_7..S,7,1,1725511590,07 0446+ MST/34H,1725528293,1725528308,654,0,0
1725511710_4..S01R,028850_4..S01R,4,1,1725511710,04 0448+ WDL/NLT,1725531026,1725531038,1024,0,0
1725511800_GS.N01R,029000_GS.N01R,GS,0,1725511800,0S 0450  GCS/TSS,1725526268,1725526283,285,0,0
1725511830_7..N,029050_7..N,7,0,1725511830,=7 0450+ G-C/MST,1725528278,1725528293,321,0,0
1725511950_6..N01R,029250_6..N01R,6,0,1725511950,06 0452+ BBR/PEL,1725529931,1725529943,834,0,0
1725512010_2..N08R,029350_2..N08R,2,0,1725512010,02 0453+ FLA/241,1725532058,1725532061,1117,0,0
1725512010_GS.S01R,029350_GS.S01R,GS,1,1725512010,0S 0453+ TSS/GCS,1725526448,1725526463,313,0,0
1725512040_2..S01R,029400_2..S01R,2,1,1725512040,02 0454  241/FLA,1725533393,1725533399,1252,0,0
1725512040_6..S01R,029400_6..S01R,6,1,1725512040,06 0454  PEL/BBR,1725530006,1725530018,801,0,0
1725512070_1..N03R,029450_1..N03R,1,0,1725512070,01 0454+ SFT/242,1725529691,1725529703,759,0,0
1725512130_2..S08X165,029550_2..S08X165,2,1,1725512130,02 0455+ 148/FLA,1725530603,1725530606,880,0,0
1725512250_1..S03R,029750_1..S03R,1,1,1725512250,01 0457+ 242/SFT,1725529886,1725529898,785,0,0
1725512280_2..N33X001,029800_2..N33X001,2,0,1725512280,02 0458  3RD/241,1725528821,1725528833,637,0,0
1725512280_4..S35X002,029800_4..S35X002,4,1,1725512280,04 0458  WDL/BWG,1725529286,1725529298,706,0,0
1725512280_7..S,029800_7..S,7,1,1725512280,07 0458 MST/34H,1725528791,1725528803,627,0,0
1725512340_5..S32R,029900_5..S32R,5,1,1725512340,05 0459  DYR/180,1725527498,1725527513,377,0,0
1725512400_GS.N01R,030000_GS.N01R,GS,0,1725512400,0S 0500  GCS/TSS,1725526868,1725526883,284,0,0
1725512460_4..N01R,030100_4..N01R,4,0,1725512460,04 0501  NLT/WDL,1725531596,1725531608,965,0,0
1725512490_3..S01R,030150_3..S01R,3,1,1725512490,03 0501+ 148/NLT,1725530531,1725530543,823,0,0
1725512580_5..N32R,030300_5..N32R,5,0,1725512580,05 0503  180/DYR,1725527708,1725527723,411,0,0
1725512610_GS.S01R,030350_GS.S01R,GS,1,1725512610,0S 0503+ TSS/GCS,1725527048,1725527063,311,0,0
1725512700_7..N,030500_7..N,7,0,1725512700,07 0505 34H/MST,1725529316,1725529328,608,0,0
