trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1725768000_7..S,024000_7..S,7,1,1725768000,07 0400 MST/34H,1725784481,1725784488,1083,0,0
1725768000_GS.N01R,024000_GS.N01R,GS,0,1725768000,0S 0400  GCS/TSS,1725782486,1725782493,525,0,0
1725768120_5..S32R,024200_5..S32R,5,1,1725768120,05 0402  DYR/180,1725783176,1725783183,709,0,0
1725768150_2..S33X001,024250_2..S33X001,2,1,1725768150,02 0402+ 241/3RD,1725784383,1725784391,1031,0,0
1725768180_5..N32X001,024300_5..N32X001,5,0,1725768180,05 0403  180/DYR,1725783408,1725783416,771,0,0
1725768210_GS.S01R,024350_GS.S01R,GS,1,1725768210,0S 0403+ TSS/GCS,1725782658,1725782666,571,0,0
1725768270_2..N33X001,024450_2..N33X001,2,0,1725768270,02 0404+ 3RD/241,1725784773,1725784788,1031,0,0
1725768360_1..S03R,024600_1..S03R,1,1,1725768360,01 0406  242/SFT,1725786258,1725786269,1238,0,0
1725768510_4..N13X004,024850_4..N13X004,4,0,1725768510,04 0408+ NLT/WDL,1725788268,1725788283,1490,0,0
1725768600_GS.N01R,025000_GS.N01R,GS,0,1725768600,0S 0410  GCS/TSS,1725783078,1725783086,523,0,0
1725768660_2..S08X165,025100_2..S08X165,2,1,1725768660,02 0411  148/FLA,1725787473,1725787488,1316,0,0
1725768690_2..N08X165,025150_2..N08X165,2,0,1725768690,02 0411+ FLA/148,1725787023,1725787038,1266,0,0
1725768720_1..N03R,025200_1..N03R,1,0,1725768720,01 0412  SFT/242,1725786573,1725786588,1195,0,0
1725768750_6..N01X007,025250_6..N01X007,6,0,1725768750,06 0412+ BBR/PEL,1725786588,1725786603,1197,0,0
1725768810_GS.S01R,025350_GS.S01R,GS,1,1725768810,0S 0413+ TSS/GCS,1725783258,1725783266,571,0,0
1725768840_4..S13R,025400_4..S13R,4,1,1725768840,04 0414  WDL/NLT,1725788433,1725788448,1352,0,0
1725768990_7..N,025650_7..N,7,0,1725768990,07 0416+ 34H/MST,1725785583,1725785598,967,0,0
1725769170_6..S01R,025950_6..S01R,6,1,1725769170,06 0419+ PEL/BBR,1725787473,1725787488,1158,0,0
1725769200_7..S,026000_7..S,7,1,1725769200,07 0420 MST/34H,1725785628,1725785643,889,0,0
1725769200_GS.N01R,026000_GS.N01R,GS,0,1725769200,0S 0420  GCS/TSS,1725783671,1725783678,521,0,0
1725769320_5..S32R,026200_5..S32R,5,1,1725769320,05 0422  DYR/180,1725784398,1725784406,715,0,0
1725769350_2..S33X001,026250_2..S33X001,2,1,1725769350,02 0422+ 241/3RD,1725785508,1725785523,891,0,0
1725769380_5..N32X001,026300_5..N32X001,5,0,1725769380,05 0423  180/DYR,1725784503,1725784511,743,0,0
1725769410_GS.S01R,026350_GS.S01R,GS,1,1725769410,0S 0423+ TSS/GCS,1725783873,1725783881,575,0,0
1725769470_2..N33X001,026450_2..N33X001,2,0,1725769470,02 0424+ 3RD/241,1725785643,1725785658,829,0,0
1725769560_1..S03R,026600_1..S03R,1,1,1725769560,01 0426  242/SFT,1725787443,1725787458,1142,0,0
1725769710_4..N13X004,026850_4..N13X004,4,0,1725769710,04 0428+ NLT/WDL,1725789768,1725789783,1373,0,0
