trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1726200000_7..S,024000_7..S,7,1,1726200000,07 0400 MST/CHS,1726215749,1726215760,876,0,0
1726200000_GS.N01R,024000_GS.N01R,GS,0,1726200000,0S 0400  GCS/TSS,1726214504,1726214515,514,0,0
1726200120_5..S32R,024200_5..S32R,5,1,1726200120,05 0402  DYR/180,1726215194,1726215205,698,0,0
1726200180_2..N33X001,024300_2..N33X001,2,0,1726200180,02 0403  3RD/241,1726216484,1726216495,1042,0,0
1726200180_5..N32R,024300_5..N32R,5,0,1726200180,05 0403  180/DYR,1726215194,1726215205,698,0,0
1726200210_GS.S01R,024350_GS.S01R,GS,1,1726200210,0S 0403+ TSS/GCS,1726214665,1726214669,556,0,0
1726200270_1..N03R,024450_1..N03R,1,0,1726200270,01 0404+ SFT/242,1726218149,1726218163,1727,0,0
1726200330_1..S03R,024550_1..S03R,1,1,1726200330,01 0405+ 242/SFT,1726218119,1726218133,1351,0,0
1726200420_4..N,024700_4..N,4,0,1726200420,04 0407  NLT/WDL,1726220490,1726220505,708,0,0
1726200420_4..N13R,024700_4..N13R,4,0,1726200420,04 0407  NLT/WDL,1726216694,1726216708,1099,0,0
1726200570_4..S13R,024950_4..S13R,4,1,1726200570,04 0409+ WDL/NLT,1726220415,1726220430,1700,0,0
1726200600_GS.N01R,025000_GS.N01R,GS,0,1726200600,0S 0410  GCS/TSS,1726215100,1726215104,514,0,0
1726200630_2..S08X165,025050_2..S08X165,2,1,1726200630,02 0410+ 148/FLA,1726219424,1726219438,1461,0,0
1726200630_7..N,025050_7..N,7,0,1726200630,07 0410+ 34H/MST,1726217474,1726217488,1078,0,0
1726200750_6..N01R,025250_6..N01R,6,0,1726200750,06 0412+ BBR/PEL,1726219138,1726219139,1404,0,0
1726200810_2..N08R,025350_2..N08R,2,0,1726200810,02 0413+ FLA/241,1726222200,1726222215,1741,0,0
1726200810_GS.S01R,025350_GS.S01R,GS,1,1726200810,0S 0413+ TSS/GCS,1726215269,1726215280,560,0,0
1726200900_6..S01R,025500_6..S01R,6,1,1726200900,06 0415  PEL/BBR,1726218584,1726218598,1216,0,0
1726201140_2..S33X001,025900_2..S33X001,2,1,1726201140,02 0419  241/3RD,1726217384,1726217398,976,0,0
1726201200_7..S,026000_7..S,7,1,1726201200,07 0420 MST/CHS,1726216949,1726216963,815,0,0
1726201200_GS.N01R,026000_GS.N01R,GS,0,1726201200,0S 0420  GCS/TSS,1726215674,1726215685,508,0,0
