trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1726977600_7..S,024000_7..S,7,1,1726977600,07 0400 MST/34H,1726994278,1726994293,344,0,0
1726977720_5..S32R,024200_5..S32R,5,1,1726977720,05 0402  DYR/180,1726992748,1726992763,213,0,0
1726977750_2..S08X181,024250_2..S08X181,2,1,1726977750,02 0402+ 241/FLA,1726998628,1726998633,887,0,0
1726977780_3..S01R,024300_3..S01R,3,1,1726977780,03 0403  148/NLT,1726996096,1726996108,552,0,0
1726977780_5..N32X001,024300_5..N32X001,5,0,1726977780,05 0403  180/DYR,1726992898,1726992913,223,0,0
1726977960_1..S03X039,024600_1..S03X039,1,1,1726977960,01 0406  242/SFT,1726995646,1726995658,479,0,0
1726978290_2..N08X020,025150_2..N08X020,2,0,1726978290,02 0411+ FLA/241,1726998573,1726998583,800,0,0
1726978320_1..N03R,025200_1..N03R,1,0,1726978320,01 0412  SFT/242,1726996216,1726996228,486,0,0
1726978350_4..S13X152,025250_4..S13X152,4,1,1726978350,04 0412+ WDL/BWG,1726995973,1726995976,453,0,0
1726978350_6..N01R,025250_6..N01R,6,0,1726978350,06 0412+ BBR/PEL,1726996426,1726996438,514,0,0
1726978590_4..N13X012,025650_4..N13X012,4,0,1726978590,04 0416+ BWG/WDL,1726996741,1726996753,535,0,0
1726978590_7..N,025650_7..N,7,0,1726978590,07 0416+ 34H/MST,1726995286,1726995298,329,0,0
1726978740_3..N01R,025900_3..N01R,3,0,1726978740,03 0419  NLT/148,1726996891,1726996903,555,0,0
1726978770_6..S01X036,025950_6..S01X036,6,1,1726978770,06 0419+ PEL/BBR,1726996726,1726996738,533,0,0
1726978800_7..S,026000_7..S,7,1,1726978800,07 0420 MST/34H,1726995451,1726995463,356,0,0
1726978920_5..S32R,026200_5..S32R,5,1,1726978920,05 0422  DYR/180,1726994068,1726994083,180,0,0
1726978950_2..S08X181,026250_2..S08X181,2,1,1726978950,02 0422+ 241/FLA,1726999503,1726999513,883,0,0
1726978980_3..S01R,026300_3..S01R,3,1,1726978980,03 0423  148/NLT,1726997326,1726997338,604,0,0
1726978980_5..N32X001,026300_5..N32X001,5,0,1726978980,05 0423  180/DYR,1726994023,1726994038,177,0,0
1726979160_1..S03X039,026600_1..S03X039,1,1,1726979160,01 0426  242/SFT,1726997011,1726997023,546,0,0
1726979490_2..N08X020,027150_2..N08X020,2,0,1726979490,02 0431+ FLA/241,1727000073,1727000083,919,0,0
1726979520_1..N03R,027200_1..N03R,1,0,1726979520,01 0432  SFT/242,1726997356,1726997368,557,0,0
1726979550_4..S13X152,027250_4..S13X152,4,1,1726979550,04 0432+ WDL/BWG,1726997131,1726997143,527,0,0
1726979550_6..N01R,027250_6..N01R,6,0,1726979550,06 0432+ BBR/PEL,1726997296,1726997308,549,0,0
1726979790_4..N13X012,027650_4..N13X012,4,0,1726979790,04 0436+ BWG/WDL,1726997998,1726998003,622,0,0
1726979790_7..N,027650_7..N,7,0,1726979790,07 0436+ 34H/MST,1726996231,1726996243,383,0,0
1726979940_3..N01R,027900_3..N01R,3,0,1726979940,03 0439  NLT/148,1726998418,1726998423,678,0,0
1726979970_6..S01X036,027950_6..S01X036,6,1,1726979970,06 0439+ PEL/BBR,1726997641,1726997653,575,0,0
1726980000_7..S,028000_7..S,7,1,1726980000,07 0440 MST/34H,1726996501,1726996513,419,0,0
1726980060_2..S08X189,028100_2..S08X189,2,1,1726980060,02 0441  241/FLA,1727000983,1727000988,1000,0,0
1726980120_5..S32R,028200_5..S32R,5,1,1726980120,05 0442  DYR/180,1726995166,1726995178,225,0,0
1726980180_3..S01R,028300_3..S01R,3,1,1726980180,03 0443  148/NLT,1726998588,1726998598,636,0,0
1726980180_5..N32X001,028300_5..N32X001,5,0,1726980180,05 0443  180/DYR,1726995376,1726995388,253,0,0
1726980360_1..S03X039,028600_1..S03X039,1,1,1726980360,01 0446  242/SFT,1726998153,1726998163,617,0,0
1726980690_2..N08X020,029150_2..N08X020,2,0,1726980690,02 0451+ FLA/241,1727001528,1727001538,1033,0,0
1726980720_1..N03R,029200_1..N03R,1,0,1726980720,01 0452  SFT/242,1726998618,1726998628,645,0,0
1726980750_4..S13X152,029250_4..S13X152,4,1,1726980750,04 0452+ WDL/BWG,1726998133,1726998138,580,0,0
1726980750_6..N01R,029250_6..N01R,6,0,1726980750,06 0452+ BBR/PEL,1726999213,1726999218,724,0,0
1726980990_4..N13X012,029650_4..N13X012,4,0,1726980990,04 0456+ BWG/WDL,1726998753,1726998763,643,0,0
1726980990_7..N,029650_7..N,7,0,1726980990,07 0456+ 34H/MST,1726997686,1726997698,506,0,0
1726981140_3..N01R,029900_3..N01R,3,0,1726981140,03 0459  NLT/148,1726999273,1726999278,712,0,0
1726981170_6..S01X036,029950_6..S01X036,6,1,1726981170,06 0459+ PEL/BBR,1726998738,1726998748,641,0,0
1726981200_7..S,030000_7..S,7,1,1726981200,07 0500 MST/34H,1726997731,1726997743,492,0,0
1726981260_2..S08X189,030100_2..S08X189,2,1,1726981260,02 0501  241/FLA,1727001408,1727001418,977,0,0
1726981320_5..S32R,030200_5..S32R,5,1,1726981320,05 0502  DYR/180,1726996441,1726996453,315,0,0
1726981380_3..S01R,030300_3..S01R,3,1,1726981380,03 0503  148/NLT,1727000013,1727000023,791,0,0
1726981380_5..N32X001,030300_5..N32X001,5,0,1726981380,05 0503  180/DYR,1726996606,1726996618,337,0,0
1726981560_1..S03X039,030600_1..S03X039,1,1,1726981560,01 0506  242/SFT,1726999413,1726999423,709,0,0
1726981890_2..N08X020,031150_2..N08X020,2,0,1726981890,02 0511+ FLA/241,1727002851,1727002858,1129,0,0
1726981920_1..N03R,031200_1..N03R,1,0,1726981920,01 0512  SFT/242,1726999668,1726999678,705,0,0
1726981950_4..S13X152,031250_4..S13X152,4,1,1726981950,04 0512+ WDL/BWG,1726999263,1726999273,651,0,0
1726981950_6..N01R,031250_6..N01R,6,0,1726981950,06 0512+ BBR/PEL,1726999683,1726999693,707,0,0
1726982190_4..N13X012,031650_4..N13X012,4,0,1726982190,04 0516+ BWG/WDL,1727000223,1727000233,740,0,0
1726982190_7..N,031650_7..N,7,0,1726982190,07 0516+ 34H/MST,1726998793,1726998798,561,0,0
1726982220_2..S08X189,031700_2..S08X189,2,1,1726982220,02 0517  241/FLA,1727003226,1727003233,1140,0,0
1726982340_3..N01R,031900_3..N01R,3,0,1726982340,03 0519  NLT/148,1727000563,1727000568,785,0,0
1726982370_6..S01X036,031950_6..S01X036,6,1,1726982370,06 0519+ PEL/BBR,1727000053,1727000058,717,0,0
1726982400_7..S,032000_7..S,7,1,1726982400,07 0520 MST/34H,1726999173,1726999183,572,0,0
1726982520_5..S32R,032200_5..S32R,5,1,1726982520,05 0522  DYR/180,1726997626,1726997638,354,0,0
1726982580_3..S01R,032300_3..S01R,3,1,1726982580,03 0523  148/NLT,1727001003,1727001013,804,0,0
1726982580_5..N32X001,032300_5..N32X001,5,0,1726982580,05 0523  180/DYR,1726997758,1726997761,371,0,0
1726982760_1..S03X039,032600_1..S03X039,1,1,1726982760,01 0526  242/SFT,1727000418,1727000428,724,0,0
1726983090_2..N08X020,033150_2..N08X020,2,0,1726983090,02 0531+ FLA/241,1727003593,1727003601,1069,0,0
1726983120_1..N03R,033200_1..N03R,1,0,1726983120,01 0532  SFT/242,1727001018,1727001028,726,0,0
1726983150_4..S13X152,033250_4..S13X152,4,1,1726983150,04 0532+ WDL/BWG,1727000673,1727000683,680,0,0
1726983150_6..N01R,033250_6..N01R,6,0,1726983150,06 0532+ BBR/PEL,1727001333,1727001343,768,0,0
1726983240_2..S08X189,033400_2..S08X189,2,1,1726983240,02 0534  241/FLA,1727003863,1727003871,1105,0,0
1726983390_4..N13X012,033650_4..N13X012,4,0,1726983390,04 0536+ BWG/WDL,1727001318,1727001328,726,0,0
1726983390_7..N,033650_7..N,7,0,1726983390,07 0536+ 34H/MST,1726999893,1726999903,552,0,0
1726983420_7..S,033700_7..S,7,1,1726983420,07 0537 MST/34H,1726999888,1726999893,551,0,0
1726983540_3..N01R,033900_3..N01R,3,0,1726983540,03 0539  NLT/148,1727001801,1727001808,790,0,0
1726983570_6..S01X036,033950_6..S01X036,6,1,1726983570,06 0539+ PEL/BBR,1727001213,1727001223,712,0,0
1726983720_5..S32R,034200_5..S32R,5,1,1726983720,05 0542  DYR/180,1726998868,1726998873,359,0,0
1726983780_3..S01R,034300_3..S01R,3,1,1726983780,03 0543  148/NLT,1727002011,1727002018,778,0,0
1726983780_5..N32X001,034300_5..N32X001,5,0,1726983780,05 0543  180/DYR,1726998873,1726998883,360,0,0
1726983960_1..S03X039,034600_1..S03X039,1,1,1726983960,01 0546  242/SFT,1727002206,1727002213,798,0,0
1726983990_2..N08X020,034650_2..N08X020,2,0,1726983990,02 0546+ FLA/241,1727004396,1727004403,1056,0,0
