trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1726545600_7..S,024000_7..S,7,1,1726545600,07 0400 MST/34H,1726562118,1726562176,549,0,0
1726545600_GS.N01R,024000_GS.N01R,GS,0,1726545600,0S 0400  GCS/TSS,1726560069,1726560078,253,0,0
1726545720_5..S32R,024200_5..S32R,5,1,1726545720,05 0402  DYR/180,1726560789,1726560798,349,0,0
1726545750_3..S42R,024250_3..S42R,3,1,1726545750,03 0402+ 148/TSQ,1726561263,1726561269,412,0,0
1726545780_2..N08X082,024300_2..N08X082,2,0,1726545780,02 0403  SFT/241,1726562118,1726562176,524,0,0
1726545780_5..N32R,024300_5..N32R,5,0,1726545780,05 0403  180/DYR,1726560939,1726560948,369,0,0
1726545810_GS.S01R,024350_GS.S01R,GS,1,1726545810,0S 0403+ TSS/GCS,1726560273,1726560279,280,0,0
1726545900_7..N,024500_7..N,7,0,1726545900,07 0405 34H/MST,1726562671,1726562686,561,0,0
1726545930_1..S03R,024550_1..S03R,1,1,1726545930,01 0405+ 242/SFT,1726562118,1726562176,316,0,0
1726546020_3..N42R,024700_3..N42R,3,0,1726546020,03 0407  TSQ/148,1726561599,1726561608,417,0,0
1726546020_4..N13R,024700_4..N13R,4,0,1726546020,04 0407  NLT/WDL,1726562118,1726562176,486,0,0
1726546080_4..S13X138,024800_4..S13X138,4,1,1726546080,04 0408  125/NLT,1726562118,1726562176,239,0,0
1726546140_2..S08R,024900_2..S08R,2,1,1726546140,02 0409  241/FLA,1726562118,1726562176,486,0,0
1726546200_GS.N01R,025000_GS.N01R,GS,0,1726546200,0S 0410  GCS/TSS,1726560678,1726560684,254,0,0
1726546230_2..S08X039,025050_2..S08X039,2,1,1726546230,02 0410+ ATL/FLA,1726561764,1726561773,399,0,0
1726546350_6..N01X007,025250_6..N01X007,6,0,1726546350,06 0412+ BBR/PEL,1726562118,1726562176,446,0,0
1726546380_2..N08X039,025300_2..N08X039,2,0,1726546380,02 0413  FLA/ATL,1726561794,1726561803,403,0,0
1726546410_GS.S01R,025350_GS.S01R,GS,1,1726546410,0S 0413+ TSS/GCS,1726560879,1726560888,281,0,0
1726546440_4..N01X111,025400_4..N01X111,4,0,1726546440,04 0414  125/WDL,1726562118,1726562176,446,0,0
1726546470_1..N03R,025450_1..N03R,1,0,1726546470,01 0414+ SFT/242,1726562118,1726562176,446,0,0
1726546500_6..S01R,025500_6..S01R,6,1,1726546500,06 0415  PEL/BBR,1726562118,1726562176,406,0,0
1726546560_4..S13X138,025600_4..S13X138,4,1,1726546560,04 0416  3AB/NLT,1726559979,1726559988,121,0,0
1726546680_4..S,025800_4..S,4,1,1726546680,04 0418  WDL/125,1726562118,1726562176,406,0,0
1726546800_7..S,026000_7..S,7,1,1726546800,07 0420 MST/34H,1726563301,1726563316,468,0,0
1726546800_GS.N01R,026000_GS.N01R,GS,0,1726546800,0S 0420  GCS/TSS,1726561299,1726561308,257,0,0
1726546830_2..S08X039,026050_2..S08X039,2,1,1726546830,E2 0420+ ATL/FLA,1726562118,1726562176,213,0,0
1726546920_5..S32R,026200_5..S32R,5,1,1726546920,05 0422  DYR/180,1726561953,1726561959,344,0,0
1726546950_3..S42R,026250_3..S42R,3,1,1726546950,03 0422+ 148/TSQ,1726562118,1726562176,366,0,0
1726546980_2..N08X082,026300_2..N08X082,2,0,1726546980,02 0423  SFT/241,1726562118,1726562176,364,0,0
1726546980_5..N32R,026300_5..N32R,5,0,1726546980,05 0423  180/DYR,1726562064,1726562073,358,0,0
1726547010_GS.S01R,026350_GS.S01R,GS,1,1726547010,0S 0423+ TSS/GCS,1726561479,1726561488,280,0,0
1726547040_2..S08R,026400_2..S08R,2,1,1726547040,02 0424  241/FLA,1726562118,1726562176,366,0,0
1726547100_7..N,026500_7..N,7,0,1726547100,07 0425 34H/G-C,1726561869,1726561878,309,0,0
1726547130_1..S03R,026550_1..S03R,1,1,1726547130,01 0425+ 242/SFT,1726562118,1726562176,326,0,0
1726547220_3..N42R,026700_3..N42R,3,0,1726547220,03 0427  TSQ/148,1726562118,1726562176,326,0,0
1726547220_4..N13R,026700_4..N13R,4,0,1726547220,04 0427  NLT/WDL,1726562118,1726562176,326,0,0
1726547400_6..S01R,027000_6..S01R,6,1,1726547400,06 0430  PEL/BBR,1726562118,1726562176,286,0,0
1726547400_GS.N01R,027000_GS.N01R,GS,0,1726547400,0S 0430  GCS/TSS,1726561884,1726561893,255,0,0
1726547430_2..S08X039,027050_2..S08X039,2,1,1726547430,02 0430+ ATL/FLA,1726562118,1726562176,286,0,0
1726547430_7..N,027050_7..N,7,0,1726547430,=7 0430+ G-C/MST,1726563751,1726563766,159,0,0
1726547460_4..S13X138,027100_4..S13X138,4,1,1726547460,04 0431  3AB/NLT,1726562118,1726562176,286,0,0
1726547550_6..N01X007,027250_6..N01X007,6,0,1726547550,06 0432+ BBR/PEL,1726562118,1726562176,286,0,0
1726547580_2..N08X039,027300_2..N08X039,2,0,1726547580,02 0433  FLA/ATL,1726562118,1726562176,286,0,0
1726547610_GS.S01R,027350_GS.S01R,GS,1,1726547610,0S 0433+ TSS/GCS,1726562079,1726562088,281,0,0
1726547640_4..N01X111,027400_4..N01X111,4,0,1726547640,04 0434  125/WDL,1726562118,1726562176,286,0,0
1726547670_1..N03R,027450_1..N03R,1,0,1726547670,01 0434+ SFT/242,1726562118,1726562176,286,0,0
1726547790_7..S,027650_7..S,7,1,1726547790,07 0436+ MST/34H,1726564396,1726564411,429,0,0
1726547910_4..S01R,027850_4..S01R,4,1,1726547910,04 0438+ WDL/NLT,1726562118,1726562176,246,0,0
1726547940_2..S01R,027900_2..S01R,2,1,1726547940,02 0439  241/FLA,1726562118,1726562176,246,0,0
1726548000_GS.N01R,028000_GS.N01R,GS,0,1726548000,0S 0440  GCS/TSS,1726562118,1726562176,206,0,0
1726548120_5..S32R,028200_5..S32R,5,1,1726548120,05 0442  DYR/180,1726562118,1726562176,206,0,0
1726548120_6..S01R,028200_6..S01R,6,1,1726548120,06 0442  PEL/BBR,1726565958,1726565973,443,0,0
1726548150_1..S03R,028250_1..S03R,1,1,1726548150,01 0442+ 242/SFT,1726562118,1726562176,206,0,0
1726548150_3..S42R,028250_3..S42R,3,1,1726548150,03 0442+ 148/TSQ,1726562118,1726562176,206,0,0
1726548180_2..N08X082,028300_2..N08X082,2,0,1726548180,02 0443  SFT/241,1726566963,1726566978,528,0,0
1726548180_4..S13X138,028300_4..S13X138,4,1,1726548180,04 0443  3AB/NLT,1726566753,1726566768,501,0,0
1726548180_5..N32R,028300_5..N32R,5,0,1726548180,05 0443  180/DYR,1726562118,1726562176,206,0,0
1726548210_GS.S01R,028350_GS.S01R,GS,1,1726548210,0S 0443+ TSS/GCS,1726562671,1726562686,218,0,0
1726548300_7..N,028500_7..N,7,0,1726548300,07 0445 34H/G-C,1726563016,1726563031,245,0,0
1726548390_4..N13R,028650_4..N13R,4,0,1726548390,04 0446+ NLT/WDL,1726562118,1726562176,166,0,0
1726548390_7..S,028650_7..S,7,1,1726548390,07 0446+ MST/34H,1726564891,1726564906,370,0,0
1726548420_3..N42R,028700_3..N42R,3,1,1726548420,03 0447  TSQ/148,1726562118,1726562176,166,0,0
1726548510_4..S01R,028850_4..S01R,4,1,1726548510,04 0448+ WDL/NLT,1726562118,1726562176,166,0,0
1726548600_GS.N01R,029000_GS.N01R,GS,0,1726548600,0S 0450  GCS/TSS,1726563061,1726563076,152,0,0
1726548630_2..S08X039,029050_2..S08X039,2,0,1726548630,02 0450+ ATL/FLA,1726562118,1726562176,126,0,0
1726548630_7..N,029050_7..N,7,0,1726548630,=7 0450+ G-C/MST,1726564831,1726564846,127,0,0
1726548750_6..N01R,029250_6..N01R,6,0,1726548750,06 0452+ BBR/PEL,1726566933,1726566948,419,0,0
1726548810_2..N08R,029350_2..N08R,2,0,1726548810,02 0453+ FLA/241,1726569378,1726569393,596,0,0
1726548810_GS.S01R,029350_GS.S01R,GS,1,1726548810,0S 0453+ TSS/GCS,1726563271,1726563286,140,0,0
1726548840_2..S01R,029400_2..S01R,2,1,1726548840,02 0454  241/FLA,1726568928,1726568943,528,0,0
1726548840_4..N01X111,029400_4..N01X111,4,0,1726548840,04 0454  125/WDL,1726564756,1726564771,256,0,0
1726548840_6..S01R,029400_6..S01R,6,1,1726548840,06 0454  PEL/BBR,1726566753,1726566768,402,0,0
1726548870_1..N03R,029450_1..N03R,1,0,1726548870,01 0454+ SFT/242,1726566393,1726566408,384,0,0
1726549050_1..S03R,029750_1..S03R,1,1,1726549050,/1 0457+ 242/SFT,1726567023,1726567038,361,0,0
1726549080_4..S35X002,029800_4..S35X002,4,1,1726549080,04 0458  WDL/BWG,1726566153,1726566168,293,0,0
1726549080_7..S,029800_7..S,7,1,1726549080,07 0458 MST/34H,1726565686,1726565701,327,0,0
1726549140_5..S32R,029900_5..S32R,5,1,1726549140,05 0459  DYR/180,1726564306,1726564321,155,0,0
1726549200_GS.N01R,030000_GS.N01R,GS,0,1726549200,0S 0500  GCS/TSS,1726563676,1726563691,73,0,0
1726549260_4..N01R,030100_4..N01R,4,0,1726549260,04 0501  NLT/WDL,1726568433,1726568448,409,0,0
1726549290_3..S01R,030150_3..S01R,3,1,1726549290,03 0501+ 148/NLT,1726567698,1726567713,379,0,0
1726549380_2..N08X082,030300_2..N08X082,2,0,1726549380,02 0503  SFT/241,1726568148,1726568163,385,0,0
1726549380_4..S01X102,030300_4..S01X102,4,1,1726549380,04 0503  3AB/NLT,1726567428,1726567443,324,0,0
1726549380_5..N32R,030300_5..N32R,5,0,1726549380,05 0503  180/DYR,1726564471,1726564486,135,0,0
1726549410_GS.S01R,030350_GS.S01R,GS,1,1726549410,0S 0503+ TSS/GCS,1726563886,1726563901,59,0,0
1726549500_7..N,030500_7..N,7,0,1726549500,07 0505 34H/MST,1726566003,1726566018,299,0,0
1726549530_6..S01R,030550_6..S01R,6,1,1726549530,06 0505+ PEL/BBR,1726567368,1726567383,268,0,0
1726549770_7..S,030950_7..S,7,1,1726549770,07 0509+ MST/34H,1726566333,1726566348,289,0,0
1726549800_GS.N01R,031000_GS.N01R,GS,0,1726549800,0S 0510  GCS/TSS,1726564276,1726564291,127,0,0
1726549830_2..S08X039,031050_2..S08X039,2,1,1726549830,02 0510+ ATL/FLA,1726565356,1726565371,199,0,0
1726549830_6..N01R,031050_6..N01R,6,0,1726549830,06 0510+ BBR/PEL,1726567728,1726567743,360,0,0
1726549920_5..S03R,031200_5..S03R,5,1,1726549920,05 0512  DYR/FLA,1726569273,1726569288,474,0,0
1726549950_5..S02R,031250_5..S02R,5,1,1726549950,05 0512+ 180/FLA,1726568508,1726568521,408,0,0
1726549980_3..S42R,031300_3..S42R,3,1,1726549980,03 0513  148/TSQ,1726565371,1726565386,200,0,0
1726549980_4..N01R,031300_4..N01R,4,0,1726549980,04 0513  NLT/WDL,1726569348,1726569361,481,0,0
1726549980_6..S01R,031300_6..S01R,6,1,1726549980,06 0513  PEL/BBR,1726567818,1726567833,366,0,0
1726550010_GS.S01R,031350_GS.S01R,GS,1,1726550010,0S 0513+ TSS/GCS,1726564486,1726564500,141,0,0
1726550040_4..S06R,031400_4..S06R,4,1,1726550040,04 0514  WDL/UTI,1726568028,1726568043,381,0,0
1726550070_1..N03R,031450_1..N03R,1,0,1726550070,01 0514+ SFT/242,1726567773,1726567788,363,0,0
1726550220_1..S03R,031700_1..S03R,1,1,1726550220,01 0517  242/SFT,1726567923,1726567938,354,0,0
1726550250_3..S01R,031750_3..S01R,3,1,1726550250,03 0517+ 148/NLT,1726568988,1726569001,431,0,0
1726550250_7..S,031750_7..S,7,1,1726550250,07 0517+ MST/34H,1726566693,1726566708,271,0,0
1726550400_GS.N01R,032000_GS.N01R,GS,0,1726550400,0S 0520  GCS/TSS,1726564891,1726564906,128,0,0
1726550430_6..S01R,032050_6..S01R,6,1,1726550430,06 0520+ PEL/BBR,1726568403,1726568418,368,0,0
1726550460_2..N01R,032100_2..N01R,2,0,1726550460,02 0521  FLA/241,1726570626,1726570636,602,0,0
1726550460_2..S01R,032100_2..S01R,2,1,1726550460,02 0521  241/FLA,1726570461,1726570471,580,0,0
1726550520_4..S06R,032200_4..S06R,4,1,1726550520,04 0522  WDL/UTI,1726568808,1726568823,399,0,0
1726550580_5..N32R,032300_5..N32R,5,1,1726550580,05 0523  180/DYR,1726565671,1726565686,180,0,0
1726550610_7..S,032350_7..S,7,1,1726550610,07 0523+ MST/34H,1726567308,1726567321,294,0,0
1726550610_GS.S01R,032350_GS.S01R,GS,1,1726550610,0S 0523+ TSS/GCS,1726565071,1726565086,140,0,0
1726550640_5..S03R,032400_5..S03R,5,1,1726550640,05 0524  DYR/FLA,1726569906,1726569916,506,0,0
1726550700_1..S03R,032500_1..S03R,1,1,1726550700,01 0525  242/SFT,1726568448,1726568463,351,0,0
1726550700_4..N01R,032500_4..N01R,4,0,1726550700,04 0525  NLT/WDL,1726565161,1726565176,126,0,0
1726550700_7..N,032500_7..N,7,0,1726550700,07 0525 34H/MST,1726567218,1726567233,281,0,0
1726550760_6..N01R,032600_6..N01R,6,0,1726550760,06 0526  BBR/PEL,1726568838,1726568853,381,0,0
1726550820_3..N42R,032700_3..N42R,3,0,1726550820,03 0527  TSQ/148,1726566408,1726566423,210,0,0
1726550820_4..N01R,032700_4..N01R,4,0,1726550820,04 0527  NLT/WDL,1726569951,1726569961,367,0,0
1726550880_6..S01R,032800_6..S01R,6,1,1726550880,06 0528  PEL/BBR,1726568868,1726568883,383,0,0
1726550970_4..S35X002,032950_4..S35X002,4,1,1726550970,04 0529+ WDL/BWG,1726568133,1726568148,328,0,0
1726550970_7..S,032950_7..S,7,1,1726550970,07 0529+ MST/34H,1726567473,1726567488,281,0,0
1726551000_GS.N01R,033000_GS.N01R,GS,0,1726551000,0S 0530  GCS/TSS,1726565476,1726565491,127,0,0
1726551090_2..S01R,033150_2..S01R,2,1,1726551090,02 0531+ 241/FLA,1726571611,1726571616,693,0,0
1726551090_3..S01R,033150_3..S01R,3,1,1726551090,03 0531+ 148/NLT,1726569423,1726569438,408,0,0
1726551120_5..S03R,033200_5..S03R,5,1,1726551120,05 0532  DYR/FLA,1726570746,1726570756,578,0,0
1726551180_1..S03R,033300_1..S03R,1,1,1726551180,01 0533  242/SFT,1726568853,1726568868,362,0,0
1726551210_4..N01R,033350_4..N01R,4,0,1726551210,04 0533+ NLT/WDL,1726564741,1726565191,78,0,0
1726551210_GS.S01R,033350_GS.S01R,GS,1,1726551210,0S 0533+ TSS/GCS,1726565671,1726565686,140,0,0
1726551270_1..N03R,033450_1..N03R,1,0,1726551270,01 0534+ SFT/242,1726568838,1726568853,361,0,0
1726551270_2..N01R,033450_2..N01R,2,0,1726551270,02 0534+ FLA/241,1726566018,1726566033,163,0,0
1726551330_3..S42R,033550_3..S42R,3,1,1726551330,03 0535+ 148/TSQ,1726566828,1726566843,198,0,0
1726551330_6..S01R,033550_6..S01R,6,1,1726551330,06 0535+ PEL/BBR,1726569138,1726569153,364,0,0
1726551420_7..N,033700_7..N,7,0,1726551420,07 0537 34H/MST,1726567908,1726567923,281,0,0
1726551450_7..S,033750_7..S,7,1,1726551450,07 0537+ MST/34H,1726567968,1726567983,285,0,0
1726551480_4..S06R,033800_4..S06R,4,1,1726551480,04 0538  WDL/UTI,1726569736,1726569741,423,0,0
1726551480_6..N01R,033800_6..N01R,6,0,1726551480,06 0538  BBR/PEL,1726569378,1726569393,384,0,0
1726551510_3..N01R,033850_3..N01R,3,0,1726551510,03 0538+ NLT/148,1726569946,1726569951,451,0,0
1726551600_GS.N01R,034000_GS.N01R,GS,0,1726551600,0S 0540  GCS/TSS,1726566061,1726566078,126,0,0
1726551660_1..S03R,034100_1..S03R,1,1,1726551660,01 0541  242/SFT,1726569363,1726569378,363,0,0
1726551690_2..S01R,034150_2..S01R,2,1,1726551690,02 0541+ 241/FLA,1726571721,1726571731,668,0,0
1726551690_4..N02R,034150_4..N02R,4,0,1726551690,04 0541+ NLT/WDL,1726570906,1726570911,557,0,0
1726551750_6..S01R,034250_6..S01R,6,1,1726551750,06 0542+ PEL/BBR,1726569561,1726569571,380,0,0
1726551780_5..N01R,034300_5..N01R,5,0,1726551780,05 0543  180/DYR,1726566873,1726566888,181,0,0
1726551810_7..S,034350_7..S,7,1,1726551810,07 0543+ MST/34H,1726568493,1726568508,287,0,0
1726551810_GS.S01R,034350_GS.S01R,GS,1,1726551810,0S 0543+ TSS/GCS,1726566273,1726566288,140,0,0
1726551900_4..S06R,034500_4..S06R,4,1,1726551900,04 0545  WDL/UTI,1726570131,1726570141,436,0,0
1726552020_3..N42R,034700_3..N42R,3,0,1726552020,03 0547  TSQ/148,1726567608,1726567623,212,0,0
1726552020_5..S03R,034700_5..S03R,5,1,1726552020,05 0547  DYR/FLA,1726571316,1726571326,602,0,0
1726552020_7..N,034700_7..N,7,0,1726552020,07 0547 34H/MST,1726568868,1726568883,313,0,0
1726552050_3..S01R,034750_3..S01R,3,1,1726552050,03 0547+ 148/NLT,1726570666,1726570671,507,0,0
1726552050_5..N60R,034750_5..N60R,5,0,1726552050,05 0547+ NLT/DYR,1726571526,1726571536,622,0,0
1726552110_1..N03R,034850_1..N03R,1,0,1726552110,01 0548+ SFT/242,1726569886,1726569891,403,0,0
1726552140_1..S03R,034900_1..S03R,1,1,1726552140,01 0549  242/SFT,1726569826,1726569831,395,0,0
