trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1727409600_GS.N01R,024000_GS.N01R,GS,0,1727409600,0S 0400  GCS/TSS,1727424095,1727424104,256,0,0
1727409720_5..S32R,024200_5..S32R,5,1,1727409720,05 0402  DYR/180,1727424800,1727424809,349,0,0
1727409720_7..S,024200_7..S,7,1,1727409720,=7 0402 CHS/34H,1727425160,1727425169,109,0,0
1727409750_7..S,024250_7..S,7,1,1727409750,07 0402+ WPT/CHS,1727425814,1727425820,501,0,0
1727409780_2..N33X001,024300_2..N33X001,2,0,1727409780,02 0403  3RD/241,1727426015,1727426024,511,0,0
1727409780_5..N32R,024300_5..N32R,5,0,1727409780,05 0403  180/DYR,1727424800,1727424809,349,0,0
1727409810_GS.S01R,024350_GS.S01R,GS,1,1727409810,0S 0403+ TSS/GCS,1727424260,1727424269,278,0,0
1727409930_1..S03X018,024550_1..S03X018,1,1,1727409930,01 0405+ 242/SFT,1727427470,1727427485,637,0,0
1727410020_4..N13R,024700_4..N13R,4,0,1727410020,04 0407  NLT/WDL,1727429966,1727429981,827,0,0
1727410050_2..S08X168,024750_2..S08X168,2,1,1727410050,02 0407+ 148/FLA,1727429036,1727429051,708,0,0
1727410140_2..S33X001,024900_2..S33X001,2,1,1727410140,02 0409  241/3RD,1727426645,1727426660,436,0,0
1727410170_4..S13R,024950_4..S13R,4,1,1727410170,04 0409+ WDL/NLT,1727430255,1727430266,824,0,0
1727410200_GS.N01R,025000_GS.N01R,GS,0,1727410200,0S 0410  GCS/TSS,1727424680,1727424689,253,0,0
1727410260_7..N,025100_7..N,7,0,1727410260,07 0411 34H/WPT,1727427545,1727427560,573,0,0
1727410350_6..N01R,025250_6..N01R,6,0,1727410350,06 0412+ BBR/PEL,1727428796,1727428811,650,0,0
1727410410_2..N08X201,025350_2..N08X201,2,0,1727410410,02 0413+ FLA/241,1727426105,1727426114,443,0,0
1727410410_GS.S01R,025350_GS.S01R,GS,1,1727410410,0S 0413+ TSS/GCS,1727424854,1727424860,276,0,0
