trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1725940800_7..S,024000_7..S,7,1,1725940800,07 0400 MST/34H,1725957790,1725957805,607,0,0
1725940800_GS.N01R,024000_GS.N01R,GS,0,1725940800,0S 0400  GCS/TSS,1725955267,1725955282,252,0,0
1725940980_2..N33X001,024300_2..N33X001,2,0,1725940980,02 0403  3RD/241,1725957217,1725957232,512,0,0
1725941010_GS.S01R,024350_GS.S01R,GS,1,1725941010,0S 0403+ TSS/GCS,1725955477,1725955492,280,0,0
1725941100_7..N,024500_7..N,7,0,1725941100,07 0405 34H/MST,1725958105,1725958120,583,0,0
1725941130_1..S03R,024550_1..S03R,1,1,1725941130,01 0405+ 242/SFT,1725958900,1725958915,687,0,0
1725941220_4..N13R,024700_4..N13R,4,0,1725941220,04 0407  NLT/WDL,1725961258,1725961273,995,0,0
1725941370_4..S13R,024950_4..S13R,4,1,1725941370,04 0409+ WDL/NLT,1725961483,1725961498,1025,0,0
1725941400_GS.N01R,025000_GS.N01R,GS,0,1725941400,0S 0410  GCS/TSS,1725955867,1725955882,252,0,0
1725941430_2..S08X165,025050_2..S08X165,2,1,1725941430,02 0410+ 148/FLA,1725960460,1725960475,845,0,0
1725941550_6..N01R,025250_6..N01R,6,0,1725941550,06 0412+ BBR/PEL,1725959995,1725960010,787,0,0
1725941610_2..N08R,025350_2..N08R,2,0,1725941610,02 0413+ FLA/241,1725962938,1725962953,1179,0,0
1725941610_GS.S01R,025350_GS.S01R,GS,1,1725941610,0S 0413+ TSS/GCS,1725956077,1725956092,280,0,0
1725941670_1..N03R,025450_1..N03R,1,0,1725941670,01 0414+ SFT/242,1725959560,1725959575,729,0,0
1725941700_6..S01R,025500_6..S01R,6,1,1725941700,06 0415  PEL/BBR,1725960115,1725960130,763,0,0
1725941940_2..S33X001,025900_2..S33X001,2,1,1725941940,02 0419  241/3RD,1725958150,1725958165,501,0,0
1725942000_7..S,026000_7..S,7,1,1725942000,07 0420 MST/34H,1725958630,1725958645,539,0,0
1725942000_GS.N01R,026000_GS.N01R,GS,0,1725942000,0S 0420  GCS/TSS,1725956482,1725956497,254,0,0
1725942090_4..S13R,026150_4..S13R,4,1,1725942090,04 0421+ WDL/NLT,1725962203,1725962218,1001,0,0
1725942180_2..N33X001,026300_2..N33X001,2,0,1725942180,02 0423  3RD/241,1725958465,1725958480,503,0,0
1725942210_GS.S01R,026350_GS.S01R,GS,1,1725942210,0S 0423+ TSS/GCS,1725956692,1725956707,282,0,0
1725942300_7..N,026500_7..N,7,0,1725942300,07 0425 34H/MST,1725959095,1725959110,585,0,0
1725942330_1..S03R,026550_1..S03R,1,1,1725942330,01 0425+ 242/SFT,1725960190,1725960205,731,0,0
1725942330_2..S08X165,026550_2..S08X165,2,1,1725942330,02 0425+ 148/FLA,1725960880,1725960895,785,0,0
1725942420_4..N13R,026700_4..N13R,4,0,1725942420,04 0427  NLT/WDL,1725962938,1725962953,1071,0,0
1725942600_6..S01R,027000_6..S01R,6,1,1725942600,06 0430  PEL/BBR,1725960355,1725960370,675,0,0
1725942600_GS.N01R,027000_GS.N01R,GS,0,1725942600,0S 0430  GCS/TSS,1725957082,1725957097,254,0,0
1725942750_6..N01R,027250_6..N01R,6,0,1725942750,06 0432+ BBR/PEL,1725960970,1725960985,757,0,0
1725942810_2..N08R,027350_2..N08R,2,0,1725942810,02 0433+ FLA/241,1725963358,1725963373,1075,0,0
1725942810_GS.S01R,027350_GS.S01R,GS,1,1725942810,0S 0433+ TSS/GCS,1725957262,1725957277,278,0,0
1725942870_1..N03R,027450_1..N03R,1,0,1725942870,01 0434+ SFT/242,1725960820,1725960835,737,0,0
1725942990_7..S,027650_7..S,7,1,1725942990,07 0436+ MST/34H,1725959620,1725959635,551,0,0
1725943110_4..S01R,027850_4..S01R,4,1,1725943110,04 0438+ WDL/NLT,1725962923,1725962938,977,0,0
1725943140_2..S01R,027900_2..S01R,2,1,1725943140,02 0439  241/FLA,1725963448,1725963463,1047,0,0
1725943200_GS.N01R,028000_GS.N01R,GS,0,1725943200,0S 0440  GCS/TSS,1725957700,1725957715,243,0,0
1725943230_2..S08X165,028050_2..S08X165,2,1,1725943230,02 0440+ 148/FLA,1725961753,1725961768,780,0,0
1725943320_6..S01R,028200_6..S01R,6,1,1725943320,06 0442  PEL/BBR,1725960985,1725961000,679,0,0
1725943350_1..S03R,028250_1..S03R,1,1,1725943350,01 0442+ 242/SFT,1725961273,1725961288,717,0,0
1725943380_2..N33X001,028300_2..N33X001,2,0,1725943380,02 0443  3RD/241,1725959830,1725959845,525,0,0
1725943410_GS.S01R,028350_GS.S01R,GS,1,1725943410,0S 0443+ TSS/GCS,1725957865,1725957880,263,0,0
1725943500_7..N,028500_7..N,7,0,1725943500,07 0445 34H/MST,1725960175,1725960190,535,0,0
1725943590_4..N13R,028650_4..N13R,4,0,1725943590,04 0446+ NLT/WDL,1725968420,1725968435,1629,0,0
1725943590_7..S,028650_7..S,7,1,1725943590,07 0446+ MST/34H,1725960205,1725960220,525,0,0
1725943620_3..N42R,028700_3..N42R,3,0,1725943620,03 0447  TSQ/148,1725959230,1725959245,405,0,0
1725943710_4..S01R,028850_4..S01R,4,1,1725943710,04 0448+ WDL/NLT,1725963328,1725963343,951,0,0
1725943800_GS.N01R,029000_GS.N01R,GS,0,1725943800,0S 0450  GCS/TSS,1725958285,1725958300,239,0,0
1725943950_6..N01R,029250_6..N01R,6,0,1725943950,06 0452+ BBR/PEL,1725961918,1725961933,723,0,0
1725944010_2..N08R,029350_2..N08R,2,0,1725944010,02 0453+ FLA/241,1725964636,1725964651,1085,0,0
1725944010_GS.S01R,029350_GS.S01R,GS,1,1725944010,0S 0453+ TSS/GCS,1725958555,1725958570,275,0,0
1725944040_2..S01R,029400_2..S01R,2,1,1725944040,02 0454  241/FLA,1725964213,1725964228,1029,0,0
1725944040_6..S01R,029400_6..S01R,6,1,1725944040,06 0454  PEL/BBR,1725962038,1725962053,739,0,0
1725944070_1..N03R,029450_1..N03R,1,0,1725944070,01 0454+ SFT/242,1725961783,1725961798,705,0,0
1725944130_2..S08X165,029550_2..S08X165,2,1,1725944130,02 0455+ 148/FLA,1725962593,1725962608,773,0,0
1725944250_1..S03R,029750_1..S03R,1,1,1725944250,01 0457+ 242/SFT,1725961903,1725961918,681,0,0
1725944280_2..N33X001,029800_2..N33X001,2,0,1725944280,02 0458  3RD/241,1725960850,1725960865,541,0,0
1725944280_4..S35X002,029800_4..S35X002,4,1,1725944280,04 0458  WDL/BWG,1725962443,1725962458,753,0,0
1725944280_7..S,029800_7..S,7,1,1725944280,07 0458 MST/34H,1725960880,1725960895,547,0,0
1725944400_GS.N01R,030000_GS.N01R,GS,0,1725944400,0S 0500  GCS/TSS,1725958870,1725958885,237,0,0
1725944460_4..N01R,030100_4..N01R,4,0,1725944460,04 0501  NLT/WDL,1725966211,1725966226,1215,0,0
1725944490_3..S01R,030150_3..S01R,3,1,1725944490,03 0501+ 148/NLT,1725962488,1725962503,719,0,0
1725944580_5..N01R,030300_5..N01R,5,0,1725944580,05 0503  180/DYR,1725959635,1725959650,339,0,0
1725944610_GS.S01R,030350_GS.S01R,GS,1,1725944610,0S 0503+ TSS/GCS,1725959050,1725959065,261,0,0
1725944700_7..N,030500_7..N,7,0,1725944700,07 0505 34H/MST,1725961273,1725961288,551,0,0
1725944730_6..S01R,030550_6..S01R,6,1,1725944730,06 0505+ PEL/BBR,1725962608,1725962623,695,0,0
1725944760_2..N08R,030600_2..N08R,2,0,1725944760,02 0506  FLA/241,1725965431,1725965446,1071,0,0
1725944760_4..S05R,030600_4..S05R,4,1,1725944760,04 0506  WDL/UTI,1725963988,1725964003,879,0,0
1725944820_3..N42R,030700_3..N42R,3,0,1725944820,03 0507  TSQ/148,1725960370,1725960385,397,0,0
1725944940_1..S03R,030900_1..S03R,1,1,1725944940,01 0509  242/SFT,1725962773,1725962788,717,0,0
1725944940_2..S01R,030900_2..S01R,2,1,1725944940,02 0509  241/FLA,1725965056,1725965071,1021,0,0
1725944970_7..S,030950_7..S,7,1,1725944970,07 0509+ MST/34H,1725961528,1725961543,545,0,0
1725945000_GS.N01R,031000_GS.N01R,GS,0,1725945000,0S 0510  GCS/TSS,1725959485,1725959500,245,0,0
1725945030_6..N01R,031050_6..N01R,6,0,1725945030,06 0510+ BBR/PEL,1725963493,1725963508,779,0,0
1725945120_5..S,031200_5..S,5,1,1725945120,E5 0512  DYR/FLA,1725964756,1725964771,198,0,0
1725945120_5..S03R,031200_5..S03R,5,1,1725945120,05 0512  DYR/FLA,1725960970,1725960985,443,0,0
1725945150_5..S,031250_5..S,5,1,1725945150,E5 0512+ 180/FLA,1725964348,1725964363,240,0,0
1725945150_5..S02R,031250_5..S02R,5,1,1725945150,05 0512+ 180/FLA,1725960580,1725960595,375,0,0
1725945180_3..S42R,031300_3..S42R,3,1,1725945180,03 0513  148/TSQ,1725960595,1725960610,393,0,0
1725945180_4..N01R,031300_4..N01R,4,1,1725945180,$4 0513  NLT/WDL,1725963703,1725963718,807,0,0
1725945180_6..S01R,031300_6..S01R,6,1,1725945180,06 0513  PEL/BBR,1725962863,1725962878,695,0,0
1725945210_GS.S01R,031350_GS.S01R,GS,1,1725945210,0S 0513+ TSS/GCS,1725959755,1725959770,281,0,0
1725945240_4..S06R,031400_4..S06R,4,1,1725945240,04 0514  WDL/UTI,1725968795,1725968810,1485,0,0
1725945270_1..N03R,031450_1..N03R,1,0,1725945270,01 0514+ SFT/242,1725963328,1725963343,757,0,0
1725945420_1..S03R,031700_1..S03R,1,1,1725945420,01 0517  242/SFT,1725963298,1725963313,724,0,0
1725945450_3..S01R,031750_3..S01R,3,1,1725945450,03 0517+ 148/NLT,1725963733,1725963748,782,0,0
1725945450_7..S,031750_7..S,7,1,1725945450,07 0517+ MST/34H,1725962158,1725962173,582,0,0
1725945600_GS.N01R,032000_GS.N01R,GS,0,1725945600,0S 0520  GCS/TSS,1725960100,1725960115,258,0,0
1725945630_6..S01R,032050_6..S01R,6,1,1725945630,06 0520+ PEL/BBR,1725964453,1725964468,838,0,0
1725945660_2..N01R,032100_2..N01R,2,0,1725945660,02 0521  FLA/241,1725966061,1725966076,1052,0,0
1725945660_2..S01R,032100_2..S01R,2,1,1725945660,02 0521  241/FLA,1725965536,1725965551,982,0,0
1725945720_4..S06R,032200_4..S06R,4,1,1725945720,$4 0522  WDL/UTI,1725965371,1725965386,960,0,0
1725945780_5..N01R,032300_5..N01R,5,0,1725945780,05 0523  180/DYR,1725961993,1725962008,510,0,0
1725945810_7..S,032350_7..S,7,1,1725945810,07 0523+ MST/34H,1725962488,1725962503,570,0,0
1725945810_GS.S01R,032350_GS.S01R,GS,1,1725945810,0S 0523+ TSS/GCS,1725960280,1725960295,282,0,0
1725945840_5..S,032400_5..S,5,1,1725945840,E5 0524  DYR/FLA,1725965221,1725965236,186,0,0
1725945840_5..S03R,032400_5..S03R,5,1,1725945840,05 0524  DYR/FLA,1725961843,1725961858,486,0,0
1725945900_1..S03R,032500_1..S03R,1,1,1725945900,01 0525  242/SFT,1725963673,1725963688,694,0,0
1725945900_4..N01R,032500_4..N01R,4,1,1725945900,$4 0525  NLT/WDL,1725964696,1725964711,830,0,0
1725945900_7..N,032500_7..N,7,0,1725945900,07 0525 34H/MST,1725962638,1725962653,590,0,0
1725945960_6..N01R,032600_6..N01R,6,0,1725945960,06 0526  BBR/PEL,1725968026,1725968041,1274,0,0
1725946020_3..N42R,032700_3..N42R,3,0,1725946020,03 0527  TSQ/148,1725961738,1725961753,436,0,0
1725946080_6..S01R,032800_6..S01R,6,1,1725946080,$6 0528  PEL/BBR,1725963088,1725963103,616,0,0
1725946170_4..S35X002,032950_4..S35X002,4,1,1725946170,$4 0529+ WDL/BWG,1725962953,1725962968,598,0,0
1725946170_7..S,032950_7..S,7,1,1725946170,07 0529+ MST/34H,1725962668,1725962683,554,0,0
1725946200_GS.N01R,033000_GS.N01R,GS,0,1725946200,0S 0530  GCS/TSS,1725960655,1725960670,252,0,0
1725946290_2..S01R,033150_2..S01R,2,1,1725946290,02 0531+ 241/FLA,1725966511,1725966526,1032,0,0
1725946290_3..S01R,033150_3..S01R,3,1,1725946290,03 0531+ 148/NLT,1725964741,1725964756,796,0,0
1725946320_5..S,033200_5..S,5,1,1725946320,E5 0532  DYR/FLA,1725966241,1725966256,210,0,0
1725946320_5..S03R,033200_5..S03R,5,1,1725946320,05 0532  DYR/FLA,1725962248,1725962263,462,0,0
1725946380_1..S03R,033300_1..S03R,1,1,1725946380,01 0533  242/SFT,1725964078,1725964093,708,0,0
1725946410_4..N01R,033350_4..N01R,4,1,1725946410,04 0533+ NLT/WDL,1725965416,1725965431,886,0,0
1725946410_GS.S01R,033350_GS.S01R,GS,1,1725946410,0S 0533+ TSS/GCS,1725960865,1725960880,280,0,0
1725946470_1..N03R,033450_1..N03R,1,0,1725946470,01 0534+ SFT/242,1725964093,1725964108,710,0,0
1725946470_2..N01R,033450_2..N01R,2,0,1725946470,02 0534+ FLA/241,1725966406,1725966421,1018,0,0
1725946530_3..S42R,033550_3..S42R,3,1,1725946530,03 0535+ 148/TSQ,1725962113,1725962128,406,0,0
1725946530_6..S01R,033550_6..S01R,6,0,1725946530,06 0535+ PEL/BBR,1725964906,1725964921,778,0,0
1725946620_7..N,033700_7..N,7,0,1725946620,07 0537 34H/MST,1725963163,1725963178,544,0,0
1725946650_7..S,033750_7..S,7,1,1725946650,07 0537+ MST/34H,1725963313,1725963328,564,0,0
1725946680_4..S06R,033800_4..S06R,4,1,1725946680,$4 0538  WDL/UTI,1725963793,1725963808,630,0,0
1725946680_6..N01R,033800_6..N01R,6,0,1725946680,06 0538  BBR/PEL,1725968795,1725968810,1296,0,0
1725946710_3..N01R,033850_3..N01R,3,0,1725946710,03 0538+ NLT/148,1725965101,1725965116,804,0,0
1725946800_GS.N01R,034000_GS.N01R,GS,0,1725946800,0S 0540  GCS/TSS,1725961258,1725961273,252,0,0
1725946860_1..S03R,034100_1..S03R,1,1,1725946860,01 0541  242/SFT,1725964558,1725964573,692,0,0
1725946890_2..S01R,034150_2..S01R,2,1,1725946890,02 0541+ 241/FLA,1725966946,1725966961,1010,0,0
