trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1727496000_7..S,024000_7..S,7,1,1727496000,07 0400 MST/CHS,1727511983,1727511989,457,0,0
1727496120_5..S32R,024200_5..S32R,5,1,1727496120,05 0402  DYR/180,1727511434,1727511443,381,0,0
1727496180_3..S01R,024300_3..S01R,3,1,1727496180,03 0403  148/NLT,1727514443,1727514451,782,0,0
1727496180_5..N32R,024300_5..N32R,5,0,1727496180,05 0403  180/DYR,1727511344,1727511353,369,0,0
1727496360_1..S03R,024600_1..S03R,1,1,1727496360,01 0406  242/SFT,1727514173,1727514181,706,0,0
1727496720_1..N03X045,025200_1..N03X045,1,0,1727496720,01 0412  SFT/242,1727514623,1727514631,726,0,0
1727496750_6..N01X033,025250_6..N01X033,6,0,1727496750,06 0412+ BBR/PEL,1727514241,1727514248,675,0,0
1727496810_2..N08X120,025350_2..N08X120,2,0,1727496810,02 0413+ FLA/241,1727517213,1727517218,1071,0,0
1727496840_4..S13X020,025400_4..S13X020,4,1,1727496840,04 0414  WDL/BWG,1727514743,1727514751,742,0,0
1727496990_7..N,025650_7..N,7,0,1727496990,07 0416+ 34H/MST,1727513453,1727513461,543,0,0
1727497110_4..N13X142,025850_4..N13X142,4,0,1727497110,04 0418+ BWG/WDL,1727515583,1727515591,772,0,0
1727497140_2..S08X188,025900_2..S08X188,2,1,1727497140,02 0419  241/FLA,1727517603,1727517608,1083,0,0
1727497170_3..N01R,025950_3..N01R,3,0,1727497170,03 0419+ NLT/148,1727515726,1727515733,833,0,0
1727497170_6..S01R,025950_6..S01R,6,1,1727497170,06 0419+ PEL/BBR,1727515013,1727515021,738,0,0
1727497200_7..S,026000_7..S,7,1,1727497200,07 0420 MST/CHS,1727513078,1727513086,456,0,0
1727497320_5..S32R,026200_5..S32R,5,1,1727497320,05 0422  DYR/180,1727512769,1727512778,399,0,0
1727497380_3..S01R,026300_3..S01R,3,1,1727497380,03 0423  148/NLT,1727515943,1727515951,822,0,0
1727497380_5..N32R,026300_5..N32R,5,0,1727497380,05 0423  180/DYR,1727512469,1727512478,359,0,0
1727497560_1..S03R,026600_1..S03R,1,1,1727497560,01 0426  242/SFT,1727515171,1727515178,679,0,0
1727497620_7..S,026700_7..S,7,1,1727497620,=7 0427 CHS/G-C,1727512454,1727512463,80,0,0
1727497920_1..N03X045,027200_1..N03X045,1,0,1727497920,01 0432  SFT/242,1727515988,1727515996,748,0,0
1727497950_6..N01X033,027250_6..N01X033,6,0,1727497950,06 0432+ BBR/PEL,1727516026,1727516033,753,0,0
1727498010_2..N08X120,027350_2..N08X120,2,0,1727498010,02 0433+ FLA/241,1727518478,1727518488,1082,0,0
1727498040_4..S13X020,027400_4..S13X020,4,1,1727498040,04 0434  WDL/BWG,1727515846,1727515853,740,0,0
1727498190_7..N,027650_7..N,7,0,1727498190,07 0436+ 34H/MST,1727514593,1727514601,547,0,0
1727498310_4..N13X142,027850_4..N13X142,4,0,1727498310,04 0438+ BWG/WDL,1727516176,1727516183,687,0,0
1727498340_2..S08X188,027900_2..S08X188,2,1,1727498340,02 0439  241/FLA,1727518883,1727518893,1094,0,0
1727498370_3..N01R,027950_3..N01R,3,0,1727498370,03 0439+ NLT/148,1727516858,1727516868,824,0,0
1727498370_6..S01R,027950_6..S01R,6,1,1727498370,06 0439+ PEL/BBR,1727516333,1727516341,754,0,0
