trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1725681600_7..S,024000_7..S,7,1,1725681600,07 0400 MST/CHS,1725697494,1725697508,801,0,0
1725681600_GS.N01R,024000_GS.N01R,GS,0,1725681600,0S 0400  GCS/TSS,1725696069,1725696083,446,0,0
1725681660_2..N33X001,024100_2..N33X001,2,0,1725681660,02 0401  3RD/241,1725698064,1725698078,886,0,0
1725681720_5..S32R,024200_5..S32R,5,1,1725681720,05 0402  DYR/180,1725696714,1725696728,587,0,0
1725681780_5..N32X001,024300_5..N32X001,5,0,1725681780,05 0403  180/DYR,1725696939,1725696953,639,0,0
1725681810_GS.S01R,024350_GS.S01R,GS,1,1725681810,0S 0403+ TSS/GCS,1725696249,1725696263,487,0,0
1725681960_1..S03R,024600_1..S03R,1,1,1725681960,01 0406  242/SFT,1725699746,1725699761,1040,0,0
1725682110_4..N13X004,024850_4..N13X004,4,0,1725682110,04 0408+ NLT/WDL,1725702339,1725702344,1361,0,0
1725682170_2..S08X165,024950_2..S08X165,2,1,1725682170,02 0409+ 148/FLA,1725701126,1725701141,1148,0,0
1725682200_GS.N01R,025000_GS.N01R,GS,0,1725682200,0S 0410  GCS/TSS,1725696684,1725696698,431,0,0
1725682230_7..N,025050_7..N,7,0,1725682230,07 0410+ 34H/MST,1725698846,1725698861,844,0,0
1725682320_1..N03R,025200_1..N03R,1,0,1725682320,01 0412  SFT/242,1725700151,1725700166,1024,0,0
1725682350_6..N01X007,025250_6..N01X007,6,0,1725682350,06 0412+ BBR/PEL,1725700226,1725700241,1034,0,0
1725682410_2..N08X165,025350_2..N08X165,2,0,1725682410,02 0413+ FLA/148,1725701081,1725701096,1146,0,0
1725682410_GS.S01R,025350_GS.S01R,GS,1,1725682410,0S 0413+ TSS/GCS,1725696819,1725696833,460,0,0
1725682440_4..S13R,025400_4..S13R,4,1,1725682440,04 0414  WDL/NLT,1725701979,1725701984,1073,0,0
