trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1726459530_1..S03R,024550_1..S03R,1,1,1726459530,01 0405+ 242/SFT,1726477291,1726477300,28,0,0
1726459620_4..N13R,024700_4..N13R,4,0,1726459620,04 0407  NLT/WDL,1726479550,1726479559,630,0,0
1726459770_4..S13R,024950_4..S13R,4,1,1726459770,04 0409+ WDL/NLT,1726479589,1726479595,640,0,0
1726459830_2..S08X165,025050_2..S08X165,2,1,1726459830,02 0410+ 148/FLA,1726478356,1726478365,312,0,0
1726459950_6..N01R,025250_6..N01R,6,0,1726459950,06 0412+ BBR/PEL,1726478176,1726478185,264,0,0
1726460010_2..N08R,025350_2..N08R,2,0,1726460010,02 0413+ FLA/241,1726481155,1726481164,1027,0,0
1726460070_1..N03R,025450_1..N03R,1,0,1726460070,01 0414+ SFT/242,1726478041,1726478050,228,0,0
1726460100_6..S01R,025500_6..S01R,6,1,1726460100,06 0415  PEL/BBR,1726478140,1726478146,254,0,0
1726460490_4..S13R,026150_4..S13R,4,1,1726460490,04 0421+ WDL/NLT,1726480120,1726480129,751,0,0
1726460730_1..S03R,026550_1..S03R,1,1,1726460730,01 0425+ 242/SFT,1726478581,1726478590,372,0,0
1726460730_2..S08X165,026550_2..S08X165,2,1,1726460730,02 0425+ 148/FLA,1726479466,1726479475,608,0,0
1726460820_4..N13R,026700_4..N13R,4,0,1726460820,04 0427  NLT/WDL,1726480720,1726480729,911,0,0
1726461000_6..S01R,027000_6..S01R,6,1,1726461000,06 0430  PEL/BBR,1726479235,1726479241,546,0,0
1726461030_7..N,027050_7..N,7X,0,1726461030,=7 0430+ G-C/MST,1726477360,1726477366,46,0,0
1726461150_6..N01R,027250_6..N01R,6,0,1726461150,06 0432+ BBR/PEL,1726479241,1726479250,548,0,0
1726461210_2..N08R,027350_2..N08R,2,0,1726461210,02 0433+ FLA/241,1726482049,1726482055,1265,0,0
1726461270_1..N03R,027450_1..N03R,1,0,1726461270,01 0434+ SFT/242,1726479061,1726479070,500,0,0
1726461390_7..S,027650_7..S,7,1,1726461390,07 0436+ MST/34H,1726478146,1726478155,256,0,0
1726461510_4..S01R,027850_4..S01R,4,1,1726461510,04 0438+ WDL/NLT,1726480594,1726480600,877,0,0
1726461540_2..S01R,027900_2..S01R,2,1,1726461540,02 0439  241/FLA,1726481650,1726481659,1159,0,0
1726461630_2..S08X165,028050_2..S08X165,2,1,1726461630,02 0440+ 148/FLA,1726480090,1726480099,743,0,0
1726461720_6..S01R,028200_6..S01R,6,1,1726461720,06 0442  PEL/BBR,1726479520,1726479526,622,0,0
1726461750_1..S03R,028250_1..S03R,1,1,1726461750,01 0442+ 242/SFT,1726479694,1726479700,667,0,0
1726461780_2..N33X001,028300_2..N33X001,2,0,1726461780,02 0443  3RD/241,1726478290,1726478296,294,0,0
1726461990_4..N13R,028650_4..N13R,4,0,1726461990,04 0446+ NLT/WDL,1726481665,1726481674,1163,0,0
1726462110_4..S01R,028850_4..S01R,4,1,1726462110,04 0448+ WDL/NLT,1726481425,1726481434,1099,0,0
1726462230_7..N,029050_7..N,7X,0,1726462230,=7 0450+ G-C/MST,1726478476,1726478485,344,1,0
1726462350_6..N01R,029250_6..N01R,6,0,1726462350,06 0452+ BBR/PEL,1726480204,1726480210,773,0,0
1726462410_2..N08R,029350_2..N08R,2,0,1726462410,02 0453+ FLA/241,1726484050,1726484062,12,0,0
1726462440_2..S01R,029400_2..S01R,2,1,1726462440,02 0454  241/FLA,1726482649,1726482655,1425,0,0
1726462440_6..S01R,029400_6..S01R,6,1,1726462440,06 0454  PEL/BBR,1726480405,1726480414,827,0,0
1726462470_1..N03R,029450_1..N03R,1,0,1726462470,01 0454+ SFT/242,1726480324,1726480330,805,0,0
1726462530_2..S08X165,029550_2..S08X165,2,1,1726462530,02 0455+ 148/FLA,1726481494,1726481500,1117,0,0
1726462650_1..S03R,029750_1..S03R,1,1,1726462650,01 0457+ 242/SFT,1726480450,1726480459,839,0,0
1726462680_4..S35X002,029800_4..S35X002,4,1,1726462680,04 0458  WDL/BWG,1726479865,1726479874,690,0,0
1726462680_7..S,029800_7..S,7,1,1726462680,07 0458 MST/34H,1726479361,1726479370,580,0,0
1726462740_2..N33X001,029900_2..N33X001,2,0,1726462740,02 0459  3RD/241,1726479121,1726479130,516,0,0
1726462740_5..S32R,029900_5..S32R,5,1,1726462740,05 0459  DYR/180,1726477810,1726477816,166,0,0
1726462770_2..N08R,029950_2..N08R,2,0,1726462770,02 0459+ FLA/241,1726483570,1726483582,1670,0,0
1726462800_GS.N01R,030000_GS.N01R,GS,0,1726462800,0S 0500  GCS/TSS,1726477291,1726477300,28,0,0
1726462860_4..N01R,030100_4..N01R,4,0,1726462860,04 0501  NLT/WDL,1726482139,1726482145,1289,0,0
1726462890_3..S01R,030150_3..S01R,3,1,1726462890,03 0501+ 148/NLT,1726480990,1726480999,983,0,0
1726462980_5..N32R,030300_5..N32R,5,0,1726462980,05 0503  180/DYR,1726478176,1726478185,264,0,0
1726463010_GS.S01R,030350_GS.S01R,GS,1,1726463010,0S 0503+ TSS/GCS,1726477486,1726477495,80,0,0
1726463100_7..N,030500_7..N,7,0,1726463100,07 0505 34H/MST,1726479610,1726479619,646,0,0
1726463130_6..S01R,030550_6..S01R,6,1,1726463130,06 0505+ PEL/BBR,1726480915,1726480924,963,0,0
1726463160_4..S05R,030600_4..S05R,4,1,1726463160,04 0506  WDL/UTI,1726481530,1726481539,1127,0,0
1726463220_3..N42R,030700_3..N42R,3,0,1726463220,03 0507  TSQ/148,1726478896,1726478905,456,0,0
1726463340_1..S03R,030900_1..S03R,1,1,1726463340,01 0509  242/SFT,1726480975,1726480984,979,0,0
1726463340_2..S01R,030900_2..S01R,2,1,1726463340,02 0509  241/FLA,1726483447,1726483450,1636,0,0
1726463370_7..S,030950_7..S,7,1,1726463370,07 0509+ MST/34H,1726480045,1726480054,731,0,0
1726463400_GS.N01R,031000_GS.N01R,GS,0,1726463400,0S 0510  GCS/TSS,1726477861,1726477870,180,0,0
1726463430_6..N01R,031050_6..N01R,6,0,1726463430,06 0510+ BBR/PEL,1726481275,1726481284,1059,0,0
