trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1725595200_7..S,024000_7..S,7,1,1725595200,07 0400 MST/34H,1725612003,1725612013,1141,0,0
1725595200_GS.N01R,024000_GS.N01R,GS,0,1725595200,0S 0400  GCS/TSS,1725609693,1725609700,511,0,0
1725595320_5..S32R,024200_5..S32R,5,1,1725595320,05 0402  DYR/180,1725610435,1725610443,709,0,0
1725595380_2..N33X001,024300_2..N33X001,2,0,1725595380,02 0403  3RD/241,1725611605,1725611613,1021,0,0
1725595380_5..N32R,024300_5..N32R,5,0,1725595380,05 0403  180/DYR,1725610435,1725610443,709,0,0
1725595410_GS.S01R,024350_GS.S01R,GS,1,1725595410,0S 0403+ TSS/GCS,1725609858,1725609865,555,0,0
1725595530_1..S03R,024550_1..S03R,1,1,1725595530,01 0405+ 242/SFT,1725613303,1725613308,1346,0,0
1725595620_4..N13R,024700_4..N13R,4,0,1725595620,04 0407  NLT/WDL,1725615663,1725615678,1788,0,0
1725595770_4..S13R,024950_4..S13R,4,1,1725595770,04 0409+ WDL/NLT,1725615663,1725615678,1707,0,0
1725595800_GS.N01R,025000_GS.N01R,GS,0,1725595800,0S 0410  GCS/TSS,1725610285,1725610293,513,0,0
1725595830_2..S08X165,025050_2..S08X165,2,1,1725595830,02 0410+ 148/FLA,1725615063,1725615073,1596,0,0
1725595830_7..N,025050_7..N,7,0,1725595830,07 0410+ 34H/MST,1725612633,1725612643,1126,0,0
1725595950_6..N01R,025250_6..N01R,6,0,1725595950,06 0412+ BBR/PEL,1725614373,1725614383,1449,0,0
1725596010_2..N08R,025350_2..N08R,2,0,1725596010,02 0413+ FLA/241,1725617283,1725617296,1986,0,0
1725596010_GS.S01R,025350_GS.S01R,GS,1,1725596010,0S 0413+ TSS/GCS,1725610458,1725610465,559,0,0
1725596070_1..N03R,025450_1..N03R,1,0,1725596070,01 0414+ SFT/242,1725613993,1725613998,1296,0,0
1725596100_6..S01R,025500_6..S01R,6,1,1725596100,06 0415  PEL/BBR,1725613908,1725613918,1280,0,0
1725596340_2..S33X001,025900_2..S33X001,2,1,1725596340,02 0419  241/3RD,1725612568,1725612573,926,0,0
1725596400_7..S,026000_7..S,7,1,1725596400,07 0420 MST/CHS,1725612223,1725612228,866,0,0
1725596400_GS.N01R,026000_GS.N01R,GS,0,1725596400,0S 0420  GCS/TSS,1725610893,1725610900,526,0,0
1725596490_4..S13R,026150_4..S13R,4,1,1725596490,04 0421+ WDL/NLT,1725616068,1725616083,1622,0,0
1725596520_5..S32R,026200_5..S32R,5,1,1725596520,05 0422  DYR/180,1725611545,1725611553,700,0,0
1725596580_2..N33X001,026300_2..N33X001,2,0,1725596580,02 0423  3RD/241,1725612768,1725612778,969,0,0
1725596580_5..N32R,026300_5..N32R,5,0,1725596580,05 0423  180/DYR,1725611740,1725611748,752,0,0
1725596610_GS.S01R,026350_GS.S01R,GS,1,1725596610,0S 0423+ TSS/GCS,1725611065,1725611073,572,0,0
1725596730_1..S03R,026550_1..S03R,1,1,1725596730,01 0425+ 242/SFT,1725614473,1725614478,1292,0,0
1725596730_2..S08X165,026550_2..S08X165,2,1,1725596730,02 0425+ 148/FLA,1725615558,1725615571,1459,0,0
1725596820_4..N13R,026700_4..N13R,4,0,1725596820,04 0427  NLT/WDL,1725616773,1725616786,1725,0,0
1725597000_6..S01R,027000_6..S01R,6,1,1725597000,06 0430  PEL/BBR,1725614998,1725615003,1273,0,0
1725597000_GS.N01R,027000_GS.N01R,GS,0,1725597000,0S 0430  GCS/TSS,1725611493,1725611500,528,0,0
1725597030_7..N,027050_7..N,7,0,1725597030,07 0430+ 34H/MST,1725613593,1725613603,1022,0,0
1725597150_6..N01R,027250_6..N01R,6,0,1725597150,06 0432+ BBR/PEL,1725615453,1725615468,1367,0,0
1725597210_2..N08R,027350_2..N08R,2,0,1725597210,02 0433+ FLA/241,1725617628,1725617641,1748,0,0
1725597210_GS.S01R,027350_GS.S01R,GS,1,1725597210,0S 0433+ TSS/GCS,1725611680,1725611688,578,0,0
