trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1727150400_GS.N01R,024000_GS.N01R,GS,0,1727150400,0S 0400  GCS/TSS,1727164878,1727164890,254,0,0
1727150520_5..S32R,024200_5..S32R,5,1,1727150520,05 0402  DYR/180,1727165583,1727165595,348,0,0
1727150550_7..S,024250_7..S,7,1,1727150550,07 0402+ WPT/34H,1727166900,1727166903,522,0,0
1727150580_2..N33X001,024300_2..N33X001,2,0,1727150580,02 0403  3RD/241,1727166783,1727166795,508,0,0
1727150580_5..N32R,024300_5..N32R,5,0,1727150580,05 0403  180/DYR,1727165550,1727165553,343,0,0
1727150610_GS.S01R,024350_GS.S01R,GS,1,1727150610,0S 0403+ TSS/GCS,1727165073,1727165085,280,0,0
1727150700_7..N,024500_7..N,7,0,1727150700,07 0405 34H/G-C,1727165253,1727165265,298,0,0
1727150730_1..S03X018,024550_1..S03X018,1,1,1727150730,01 0405+ 242/SFT,1727168388,1727168403,604,0,0
1727150820_4..N13R,024700_4..N13R,4,0,1727150820,04 0407  NLT/WDL,1727170548,1727170563,748,0,0
1727150850_2..S08X168,024750_2..S08X168,2,1,1727150850,02 0407+ 148/FLA,1727169348,1727169363,667,0,0
1727150970_4..S13R,024950_4..S13R,4,1,1727150970,04 0409+ WDL/NLT,1727170896,1727170908,776,0,0
1727151000_GS.N01R,025000_GS.N01R,GS,0,1727151000,0S 0410  GCS/TSS,1727165478,1727165490,254,0,0
1727151030_7..N,025050_7..N,7,0,1727151030,=7 0410+ G-C/WPT,1727167023,1727167035,250,0,0
1727151150_6..N01R,025250_6..N01R,6,0,1727151150,06 0412+ BBR/PEL,1727169678,1727169693,650,0,0
1727151210_2..N08X201,025350_2..N08X201,2,0,1727151210,02 0413+ FLA/241,1727173086,1727173098,1028,0,0
1727151210_GS.S01R,025350_GS.S01R,GS,1,1727151210,0S 0413+ TSS/GCS,1727165670,1727165673,279,0,0
1727151270_1..N03R,025450_1..N03R,1,0,1727151270,01 0414+ SFT/242,1727169108,1727169123,612,0,0
1727151300_6..S01R,025500_6..S01R,6,1,1727151300,06 0415  PEL/BBR,1727169288,1727169303,584,0,0
1727151300_7..N,025500_7..N,7,0,1727151300,E7 0415 34H/WPT,1727167758,1727167773,356,2,0
1727151540_2..S33X001,025900_2..S33X001,2,1,1727151540,02 0419  241/3RD,1727167773,1727167788,483,0,0
1727151600_GS.N01R,026000_GS.N01R,GS,0,1727151600,0S 0420  GCS/TSS,1727166090,1727166093,255,0,0
1727151690_4..S13R,026150_4..S13R,4,1,1727151690,04 0421+ WDL/NLT,1727171241,1727171253,702,0,0
1727151720_5..S32R,026200_5..S32R,5,1,1727151720,05 0422  DYR/180,1727166738,1727166750,342,0,0
1727151750_2..S08X168,026250_2..S08X168,2,1,1727151750,02 0422+ 148/FLA,1727169948,1727169963,588,0,0
1727151750_7..S,026250_7..S,7,1,1727151750,07 0422+ WPT/34H,1727168313,1727168328,481,0,0
1727151780_2..N33X001,026300_2..N33X001,2,0,1727151780,02 0423  3RD/241,1727168313,1727168328,479,0,0
1727151780_5..N32R,026300_5..N32R,5,0,1727151780,05 0423  180/DYR,1727166888,1727166900,362,0,0
