trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1725249600_7..S,024000_7..S,7,1,1725249600,07 0400 MST/34H,1725266288,1725266296,1042,0,0
1725249600_GS.N01R,024000_GS.N01R,GS,0,1725249600,0S 0400  GCS/TSS,1725264121,1725264128,499,0,0
1725249720_5..S32R,024200_5..S32R,5,1,1725249720,05 0402  DYR/180,1725264781,1725264788,656,0,0
1725249750_2..S08X006,024250_2..S08X006,2,1,1725249750,02 0402+ 96S/FLA,1725268028,1725268043,1417,0,0
1725249750_2..S33X001,024250_2..S33X001,2,1,1725249750,02 0402+ 241/3RD,1725265868,1725265876,934,0,0
1725249780_2..N33X001,024300_2..N33X001,2,0,1725249780,02 0403  3RD/241,1725266168,1725266176,1014,0,0
1725249780_5..N32R,024300_5..N32R,5,0,1725249780,05 0403  180/DYR,1725264773,1725264781,655,0,0
1725249810_GS.S01R,024350_GS.S01R,GS,1,1725249810,0S 0403+ TSS/GCS,1725264256,1725264263,535,0,0
1725249960_1..S03R,024600_1..S03R,1,1,1725249960,01 0406  242/SFT,1725267773,1725267788,1315,0,0
1725250110_4..N13R,024850_4..N13R,4,0,1725250110,04 0408+ NLT/WDL,1725270413,1725270428,1667,0,0
1725250200_GS.N01R,025000_GS.N01R,GS,0,1725250200,0S 0410  GCS/TSS,1725264661,1725264668,486,0,0
1725250290_2..N08R,025150_2..N08R,2,0,1725250290,02 0411+ FLA/241,1725270923,1725270938,1664,0,0
1725250320_1..N03R,025200_1..N03R,1,0,1725250320,01 0412  SFT/242,1725268208,1725268223,1287,0,0
1725250350_6..N01X027,025250_6..N01X027,6,0,1725250350,06 0412+ BBR/PEL,1725268118,1725268133,1275,0,0
1725250410_GS.S01R,025350_GS.S01R,GS,1,1725250410,0S 0413+ TSS/GCS,1725264848,1725264856,511,0,0
1725250440_4..S13R,025400_4..S13R,4,1,1725250440,04 0414  WDL/NLT,1725270158,1725270173,1504,0,0
1725250590_7..N,025650_7..N,7,0,1725250590,07 0416+ 34H/MST,1725267308,1725267323,1112,0,0
1725250770_6..S01R,025950_6..S01R,6,1,1725250770,06 0419+ PEL/BBR,1725268583,1725268598,1209,0,0
1725250800_7..S,026000_7..S,7,1,1725250800,07 0420 MST/34H,1725267278,1725267293,1039,0,0
1725250800_GS.N01R,026000_GS.N01R,GS,0,1725250800,0S 0420  GCS/TSS,1725265276,1725265283,493,0,0
1725250920_5..S32R,026200_5..S32R,5,1,1725250920,05 0422  DYR/180,1725265966,1725265973,677,0,0
1725250950_2..S08X006,026250_2..S08X006,2,1,1725250950,02 0422+ 96S/FLA,1725269138,1725269149,1285,0,0
1725250950_2..S33X001,026250_2..S33X001,2,1,1725250950,02 0422+ 241/3RD,1725267158,1725267166,995,0,0
1725250980_2..N33X001,026300_2..N33X001,2,0,1725250980,02 0423  3RD/241,1725267548,1725267563,1065,0,0
1725250980_5..N32R,026300_5..N32R,5,0,1725250980,05 0423  180/DYR,1725266071,1725266078,705,0,0
1725251010_GS.S01R,026350_GS.S01R,GS,1,1725251010,0S 0423+ TSS/GCS,1725265441,1725265448,537,0,0
1725251160_1..S03R,026600_1..S03R,1,1,1725251160,01 0426  242/SFT,1725269003,1725269018,1234,0,0
1725251310_4..N,026850_4..N,4,0,1725251310,/4 0428+ NLT/WDL,1725272063,1725272078,93,0,0
1725251310_4..N13R,026850_4..N13R,4,0,1725251310,04 0428+ NLT/WDL,1725271133,1725271148,1483,0,0
1725251400_GS.N01R,027000_GS.N01R,GS,0,1725251400,0S 0430  GCS/TSS,1725265868,1725265876,491,0,0
1725251490_2..N08R,027150_2..N08R,2,0,1725251490,02 0431+ FLA/241,1725271763,1725271778,1491,0,0
1725251520_1..N03R,027200_1..N03R,1,0,1725251520,01 0432  SFT/242,1725269483,1725269498,1175,0,0
1725251550_6..N01X027,027250_6..N01X027,6,0,1725251550,06 0432+ BBR/PEL,1725269149,1725269153,1126,0,0
1725251610_GS.S01R,027350_GS.S01R,GS,1,1725251610,0S 0433+ TSS/GCS,1725266041,1725266048,537,0,0
1725251640_4..S13R,027400_4..S13R,4,1,1725251640,04 0434  WDL/NLT,1725271433,1725271448,1466,0,0
1725251790_7..N,027650_7..N,7,0,1725251790,07 0436+ 34H/MST,1725268223,1725268238,878,0,0
1725251970_6..S01R,027950_6..S01R,6,1,1725251970,06 0439+ PEL/BBR,1725269678,1725269693,1041,0,0
1725252000_7..S,028000_7..S,7,1,1725252000,07 0440 MST/34H,1725268553,1725268568,923,0,0
1725252000_GS.N01R,028000_GS.N01R,GS,0,1725252000,0S 0440  GCS/TSS,1725266446,1725266453,485,0,0
1725252120_5..S32R,028200_5..S32R,5,1,1725252120,05 0442  DYR/180,1725267173,1725267181,679,0,0
1725252150_2..S08R,028250_2..S08R,2,1,1725252150,02 0442+ 241/FLA,1725272843,1725272858,1476,0,0
1725252150_2..S08X006,028250_2..S08X006,2,1,1725252150,02 0442+ 96S/FLA,1725270278,1725270293,1126,0,0
1725252180_2..N33X001,028300_2..N33X001,2,0,1725252180,02 0443  3RD/241,1725268388,1725268403,863,0,0
1725252180_5..N32R,028300_5..N32R,5,0,1725252180,05 0443  180/DYR,1725267323,1725267338,713,0,0
1725252210_GS.S01R,028350_GS.S01R,GS,1,1725252210,0S 0443+ TSS/GCS,1725266641,1725266648,537,0,0
1725252360_1..S03R,028600_1..S03R,1,1,1725252360,01 0446  242/SFT,1725270218,1725270233,1062,0,0
1725252510_4..N13R,028850_4..N13R,4,0,1725252510,04 0448+ NLT/WDL,1725272513,1725272528,1374,0,0
1725252600_GS.N01R,029000_GS.N01R,GS,0,1725252600,0S 0450  GCS/TSS,1725267038,1725267046,514,0,0
1725252690_2..N08R,029150_2..N08R,2,0,1725252690,02 0451+ FLA/241,1725273218,1725273233,1397,0,0
1725252720_1..N03R,029200_1..N03R,1,0,1725252720,01 0452  SFT/242,1725270623,1725270638,1044,0,0
1725252750_6..N01X027,029250_6..N01X027,6,0,1725252750,06 0452+ BBR/PEL,1725270593,1725270608,1040,0,0
